source,target,value
15007,23016,2034
15007,23017,51
15007,23018,10
15007,23019,25
15007,23020,105
15007,23021,46
15007,23022,12
15007,23023,132
15007,23024,12
15007,23026,33
15007,23029,31
15007,23032,64
15007,23033,40
15007,24001,171
15007,24002,24
15007,24004,9
15007,24006,6
15007,24010,5
15007,24012,9
15007,24015,16
15007,24017,41
15007,24018,1055
15007,24019,6
15007,25002,62
15007,25004,9
15007,25007,34
15007,25010,41
15007,25012,5
15007,25017,62
15007,25018,24
15007,25022,387
15007,26001,19
15007,26002,29
15007,26004,46
15007,26005,25
15007,26007,33
15007,26008,52
15007,26012,46
15007,26013,22
15007,26016,38
15007,26017,920
15007,26018,7
15007,26019,3
15007,27002,27
15007,27003,7
15007,27010,19
15007,27011,188
15007,27013,9
15007,28002,8
15007,28011,106
15007,29004,55
15007,29005,54
15007,29012,29
15007,29020,20
15007,29021,410
15007,29028,9
15007,29031,24
15007,29032,168
15007,31002,27
15008,11001,54
15008,11003,12
15008,11005,31
15008,13003,12
15008,13007,341
15008,14001,120
15008,15002,90
15008,15003,94
15008,15006,187
15008,15007,5887
15008,15008,1908
15008,15009,908
15008,15010,1460
15008,15011,21
15008,15012,1015
15008,15013,1072
15008,15014,7
15008,15015,52
15008,15016,139
15008,15017,926
15008,15018,13
15008,15019,74
15008,15020,61
15008,15021,40
15008,16001,65
15008,16003,173
15008,16004,66
15008,17001,55
15008,17002,113
15008,17003,10
15008,17005,78
15008,17006,10
15008,21002,5
15008,21005,144
15008,21007,99
15008,21008,82
15008,21009,166
15008,21012,10
15008,22003,54
15008,22004,79
15008,23001,6
15008,23003,34
15008,23005,7
15008,23009,35
15008,23011,42
15008,23016,142
15008,23020,128
15008,23021,29
15008,23032,17
15008,23033,24
15008,24018,17
15008,25003,12
15008,25015,16
15008,25017,8
15008,25022,39
15008,26005,50
15008,26014,33
15008,29013,59
15008,29031,10
15008,29032,15
15009,11001,60
15009,11006,9
15009,13007,69
15009,13008,22
15009,14004,38
15009,15002,15
15009,15003,66
15009,15005,20
15009,15006,21
15009,15007,7677
15009,15008,2009
15009,15009,1465
15009,15010,931
15009,15011,109
15009,15012,414
15009,15013,126
15009,15015,137
15009,15017,129
15009,15018,10
15009,15020,33
15009,15021,50
15009,16003,113
15009,16004,98
15009,17002,5
15009,17003,13
15009,21002,18
15009,21005,12
15009,21007,89
15009,21008,8
15009,21009,16
15009,22009,5
15009,23001,5
15009,23009,14
15009,23013,72
15009,23016,16
15009,23020,18
15009,23029,3
15009,27005,10
15010,11001,66
15010,11006,13
15010,11007,5
15010,12004,9
15010,13003,12
15010,13005,8
15010,13007,221
15010,13010,10
15010,14001,88
15010,14003,42
15010,15001,20
15010,15002,54
15010,15003,34
15010,15006,31
15010,15007,14319
15010,15008,3979
15010,15009,3143
15010,15010,4107
15010,15011,9
15010,15012,1121
15010,15013,2533
15010,15014,66
15010,15015,77
15010,15016,109
15010,15017,1860
15010,15018,8
15010,15019,304
15010,15020,68
15010,15022,7
15010,16002,11
