id,rate,output_data_fixa,input_data_fixa,rate_ue,output_ue,input_ue
3159308,-338,725,387,-548,958,410
3159357,-55,104,49,-95,127,32
3159506,7,114,121,20,136,156
3159605,-3,147,144,2,178,180
3159704,60,404,464,52,505,557
3159803,5226,506,5732,5695,560,6255
3158300,199,179,378,141,253,394
3158409,-137,294,157,-120,307,187
3158508,-333,642,309,-308,689,381
3158607,-88,194,106,-79,185,106
3158706,362,381,743,417,431,848
3158805,-132,219,87,-137,272,135
3158904,-277,569,292,-240,572,332
3158953,344,1357,1701,314,1572,1886
3159001,-102,300,198,-72,295,223
3159100,526,978,1504,432,1298,1730
3159902,-353,772,419,-859,1350,491
3160009,58,96,154,48,127,175
3160108,-50,307,257,-41,339,298
3160207,-38,140,102,-134,244,110
3160306,-479,783,304,-736,1124,388
3160405,904,826,1730,1037,993,2030
3160454,-125,209,84,-115,205,90
3160504,2,76,78,-45,127,82
3160603,-62,201,139,-72,240,168
3160702,-736,1652,916,-979,2029,1050
3160801,12,306,318,-115,465,350
3160900,222,119,341,139,182,321
3160959,161,187,348,98,296,394
3161007,-419,1286,867,-638,1647,1009
3161056,7,223,230,37,232,269
3161106,-1483,2387,904,-1837,3161,1324
3161205,-306,418,112,-324,522,198
3161304,92,219,311,-107,419,312
3161403,-106,467,361,-28,444,416
3161502,296,309,605,265,398,663
3161601,-167,361,194,-240,460,220
3161650,182,227,409,137,279,416
3161700,381,337,718,354,394,748
3161809,643,362,1005,749,495,1244
3161908,300,302,602,229,506,735
3125507,-770,1766,996,-822,1917,1095
3162005,-693,1933,1240,-582,2227,1645
3162104,232,176,408,323,221,544
3162203,11,333,344,114,293,407
3162252,-130,248,118,-133,258,125
3162302,-889,1330,441,-1173,1710,537
3162401,12,137,149,42,165,207
3162450,-988,3643,2655,-1086,4127,3041
3162500,162,448,610,270,460,730
3162559,139,162,301,136,178,314
3162575,-302,651,349,-411,843,432
3162609,44,147,191,97,121,218
3162658,-88,360,272,-214,501,287
3162708,-337,1033,696,-748,1471,723
3162807,-491,1257,766,-645,1438,793
3162906,3596,1252,4848,3434,1715,5149
3162922,309,297,606,327,297,624
3162948,2129,479,2608,2194,582,2776
3162955,-89,304,215,-100,347,247
3163003,258,249,507,212,351,563
3163102,-70,309,239,-100,357,257
3163201,-79,258,179,-152,350,198
3163300,-360,638,278,-421,718,297
3163409,-285,519,234,-397,661,264
3163508,59,88,147,13,145,158
3163607,297,1394,1691,261,1783,2044
3163706,-77,386,309,-126,470,344
3163805,-73,264,191,-113,356,243
3163904,-237,535,298,-342,746,404
3164100,-130,511,381,-80,530,450
3164001,-135,558,423,-33,613,580
3164209,-55,416,361,-69,468,399
3164308,-2,283,281,82,225,307
3164407,105,124,229,161,112,273
3164431,272,226,498,222,317,539
3164472,-670,924,254,-812,1114,302
3164506,288,136,424,268,207,475
3164605,1292,1074,2366,1273,1218,2491
3164704,73,66,139,36,122,158
3164803,61,67,128,57,74,131
3164902,-1,477,476,-45,608,563
3165206,66,228,294,148,222,370
3165008,-325,592,267,-393,685,292
3165107,-139,394,255,-207,541,334
3165305,-60,119,59,-145,209,64
3165404,242,158,400,231,191,422
3165503,2804,1007,3811,3127,1063,4190
3165537,-302,478,176,-365,574,209
3165560,-138,325,187,-273,483,210
3165578,-139,318,179,-109,328,219
3165602,-33,156,123,-52,189,137
3165701,-242,407,165,-359,585,226
3165800,99,100,199,60,135,195
3165909,-374,543,169,-400,673,273
3166006,-92,284,192,-294,518,224
3166105,112,106,218,53,168,221
3166204,-113,307,194,-239,482,243
3166303,-189,405,216,-217,489,272
3166402,47,41,88,15,67,82
3166501,-350,433,83,-467,578,111
3166600,19,99,118,-1,145,144
3166808,88,140,228,39,184,223
3166709,218,601,819,304,576,880
3166907,-319,561,242,-266,541,275
3166956,-47,186,139,-96,261,165
3167004,-8,131,123,-10,146,136
3167103,-997,1627,630,-1225,2023,798
3167202,4116,6950,11066,4258,8474,12732
3165552,-85,190,105,-118,240,122
3167301,186,258,444,81,399,480
3167400,45,87,132,67,92,159
3167509,151,767,918,-13,1052,1039
3167608,50,259,309,-62,436,374
3167707,82,182,264,70,217,287
3167806,-122,307,185,-127,362,235
3167905,217,957,1174,255,1086,1341
3168002,-35,246,211,-44,286,242
3168051,-20,221,201,61,204,265
3168101,-50,253,203,-27,231,204
3168200,183,180,363,288,157,445
3168309,-308,1063,755,-585,1495,910
3168408,-304,862,558,-203,800,597
3168507,-1072,6368,5296,-2166,8589,6423
3168606,641,3662,4303,192,4680,4872
3168705,244,249,493,279,250,529
3168804,-195,504,309,-255,605,350
3168903,168,562,730,30,734,764
3169000,71,63,134,36,92,128
3169059,40,53,93,40,61,101
3169109,69,213,282,44,251,295
3169208,-71,2450,2379,-325,3009,2684
3169307,377,1755,2132,503,2108,2611
3169356,-1064,2746,1682,-1267,3284,2017
3169406,399,156,555,344,252,596
3169505,95,1315,1410,-68,1647,1579
3169604,12,839,851,-3,971,968
3169703,125,161,286,43,287,330
3169802,1108,3379,4487,1607,3987,5594
3169901,-192,549,357,-196,620,424
3170008,172,634,806,229,699,928
3170057,2312,7202,9514,3931,7640,11571
3170107,13173,14567,27740,14814,15685,30499
3170206,-56,181,125,-79,221,142
3170305,-954,2836,1882,-590,3404,2814
3170404,-42,336,294,2,356,358
3170438,70,113,183,68,145,213
3170479,-152,661,509,-39,629,590
3170503,111,533,644,29,661,690
3170529,-215,564,349,-170,605,435
3170578,-194,433,239,-252,550,298
3170602,-177,287,110,-215,328,113
3170651,2040,3762,5802,2029,4377,6406
3170701,265,478,743,394,381,775
3170750,-633,2277,1644,-837,2817,1980
3170800,-616,1031,415,-847,1320,473
3170909,-767,1586,819,-669,1709,1040
3171006,22,379,401,129,385,514
3171030,-98,272,174,-145,329,184
3171071,187,312,499,123,388,511
3171105,-89,321,232,-156,415,259
3171154,7338,3879,11217,8091,4084,12175
3171204,250,4473,4723,642,4345,4987
3171303,8,182,190,-46,232,186
3171402,-84,200,116,-87,232,145
3171600,-49,480,431,-149,621,472
3171709,-92,296,204,-66,337,271
3171808,-172,708,536,-175,889,714
3171907,-205,542,337,-175,619,444
3172004,701,1052,1753,708,1422,2130
3172103,-88,266,178,-115,306,191
3172202,97,64,161,61,117,178
