lot,lat,output,iata,city,
-45.919724,-21.674721,565,3139003,Machado,
-44.330276,-21.4825,1707,3139102,Madre de Deus de Minas,
-42.076664,-17.842222,154,3139201,Malacacheta,
-42.949444,-15.050278,1767,3139250,Mamonas,
-43.932224,-14.755834,135,3139300,Manga,
-42.033611,-20.258055,1394,3139409,Manhuaçu,
-41.958057,-20.357779,4361,3139508,Manhumirim,
-40.980278,-18.781666,1241,3139607,Mantena,
-43.009724,-21.867222,1208,3139805,Mar de Espanha,
-44.676392,-19.516111,495,3139706,Maravilhas,
-45.375275,-22.308054,287,3139904,Maria da Fé,
-43.416111,-20.377777,827,3140001,Mariana,
-42.083889,-18.508055,2867,3140100,Marilac,
-44.188335,-20.056389,179,3140159,Mário Campos,
-42.958889,-21.698055,695,3140209,Maripá de Minas,
-42.732224,-19.712223,50,3140308,Marliéria,
-45.165279,-22.449165,345,3140407,Marmelópolis,
-45.236946,-19.331667,120,3140506,Martinho Campos,
-41.876942,-20.256945,965,3140530,Martins Soares,
-40.741112,-15.686389,432,3140555,Mata Verde,
-43.059723,-18.474167,123,3140605,Materlândia,
-44.42778,-19.986389,311,3140704,Mateus Leme,
-41.914448,-18.564722,1492,3171501,Mathias Lobato,
-43.319443,-21.869167,505,3140803,Matias Barbosa,
-43.921947,-14.854723,783,3140852,Matias Cardoso,
-42.34111,-20.283888,1185,3140902,Matipó,
-42.866386,-15.397223,642,3141009,Mato Verde,
-44.081387,-19.557777,1482,3141108,Matozinhos,
-45.968613,-19.2225,315,3141207,Matutina,
-46.226112,-19.995556,91,3141306,Medeiros,
-41.476944,-16.2225,1364,3141405,Medina,
-41.404724,-18.66111,441,3141504,Mendes Pimentel,
-43.341389,-21.194166,450,3141603,Mercês,
-42.60722,-19.2225,361,3141702,Mesquita,
-42.590275,-17.218611,1643,3141801,Minas Novas,
-44.603886,-21.681944,257,3141900,Minduri,
-44.164448,-16.262777,797,3142007,Mirabela,
-42.342499,-20.890556,738,3142106,Miradouro,
-42.614166,-21.195276,748,3142205,Miraí,
-44.403614,-14.741112,99,3142254,Miravânia,
-44.052776,-20.333055,415,3142304,Moeda,
-45.410835,-19.843334,506,3142403,Moema,
