origin,destination,count
3106200,3105707,6
3106200,3105905,1
3106200,3106309,24
3106200,3106408,6
3106200,3106705,1037
3106200,3107406,31
3106200,3107703,13
3106200,3107802,42
3106200,3108008,6
3106200,3108107,3
3106200,3108305,5
3106200,3108800,3
3106200,3109006,36
3106200,3109204,16
3106200,3109253,19
3106200,3109600,4
3106200,3109907,64
3106200,3110004,55
3106200,3110400,3
3106200,3110905,4
3106200,3111101,5
3106200,3111705,7
3106200,3112307,10
3106200,3112505,14
3106200,3112653,3
3106200,3112703,9
3106200,3112901,5
3106200,3113404,49
3106200,3113909,5
3106200,3114006,10
3106200,3114501,9
3106200,3114907,2
3106200,3115474,3
3106200,3115508,28
3106200,3115706,3
3106200,3116506,8
3106200,3116605,33
3106200,3116704,3
3106200,3117603,17
3106200,3117836,3
3106200,3117876,8
3106200,3118007,36
3106200,3118106,4
3106200,3118304,51
3106200,3118601,1302
3106200,3118809,11
3106200,3119104,13
3106200,3119401,72
3106200,3119807,5
3106200,3119955,3
3106200,3120102,3
3106200,3120201,11
3106200,3120607,20
3106200,3120839,5
3106200,3120904,32
3106200,3121407,4
3106200,3121605,49
3106200,3121803,6
3106200,3122207,3
3106200,3122306,183
3106200,3122470,3
3106200,3122504,5
3106200,3123205,16
3106200,3123601,23
3106200,3123809,7
3106200,3123858,6
3106200,3123908,5
3106200,3124104,390
3106200,3124203,8
3106200,3124708,7
3106200,3125101,10
3106200,3125408,10
3106200,3125705,4
3106200,3126000,10
3106200,3126109,27
3106200,3126604,3
3106200,3126950,9
3106200,3127305,16
3106200,3127503,2
3106200,3127602,6
3106200,3127701,30
3106200,3128006,44
3106200,3128105,6
3106200,3128204,11
3106200,3128709,9
3106200,3128808,2
3106200,3129509,73
3106200,3129608,5
3106200,3129707,6
3106200,3129806,391
3106200,3130101,322
3106200,3130200,15
3106200,3130903,11
3106200,3131000,23
3106200,3131109,15
3106200,3131158,20
3106200,3131208,29
3106200,3131307,137
3106200,3131703,67
3106200,3131802,29
3106200,3131901,35
3106200,3132008,3
3106200,3132206,14
3106200,3132503,14
3106200,3132701,38
3106200,3133709,6
3106200,3133808,60
3106200,3134103,10
3106200,3134608,33
3106200,3135100,20
3106200,3135506,10
3106200,3135605,5
3106200,3135704,18
