origin,destination,count
3102100,3123007,7
3102100,3123304,18
3102100,3136702,16
3102100,3136801,4
3102100,3138203,10
3102100,3139805,15
3102100,3141603,56
3102100,3149507,4
3102100,3154408,3
3102100,3155207,23
3102100,3166204,29
3102100,3167301,16
3102100,3169901,45
3102100,3171303,14
3102209,3106200,122
3102209,3118403,9
3102209,3122108,4
3102209,3125101,19
3102209,3127305,11
3102209,3127701,26
3102209,3130903,81
3102209,3131208,5
3102209,3131307,28
3102209,3131802,5
3102209,3133204,4
3102209,3139409,26
3102209,3144805,10
3102209,3145208,9
3102209,3151909,3
3102209,3154309,5
3102209,3154606,43
3102209,3159506,5
3102209,3160959,23
3102209,3163003,3
3102209,3164472,35
3102209,3168051,4
3102209,3168408,5
3102209,3170057,11
3102308,3103207,6
3102308,3105400,27
3102308,3105707,19
3102308,3106002,6
3102308,3106200,140
3102308,3106705,10
3102308,3115359,29
3102308,3118601,91
3102308,3122702,63
3102308,3126000,1
3102308,3130101,42
3102308,3131307,37
3102308,3131901,14
3102308,3136207,196
3102308,3140001,113
3102308,3141108,10
3102308,3144706,19
3102308,3145901,12
3102308,3152105,44
3102308,3155702,112
3102308,3155801,9
3102308,3157203,75
3102308,3157807,18
3102308,3161007,11
3102308,3161908,7
3102308,3163409,2
3102308,3165560,14
3102308,3168408,4
3102308,3168705,37
3102308,3170206,13
3102308,3171303,12
3102407,3104502,10
3102407,3106200,22
3102407,3117504,30
3102407,3118106,3
3102407,3124203,37
3102407,3127057,4
3102407,3137601,8
3102407,3140530,2
3102407,3142106,5
3102407,3143153,4
3102407,3156809,5
3102407,3160207,6
3102407,3162955,4
3102407,3167103,32
3102506,3106200,96
3102506,3118601,46
3102506,3122702,10
3102506,3141108,16
3102506,3145851,24
3102506,3148806,20
3102506,3150208,1
3102506,3150802,16
3102506,3152105,110
3102506,3156700,15
3102506,3168507,26
3102506,3171303,20
3102605,3101409,39
3102605,3101607,18
3102605,3102001,15
3102605,3104007,11
3102605,3104304,16
3102605,3106705,13
3102605,3108404,5
3102605,3110301,15
3102605,3115102,5
3102605,3117702,6
3102605,3117900,11
3102605,3119500,8
3102605,3120805,15
3102605,3129905,124
3102605,3132404,22
3102605,3134905,21
3102605,3143401,44
3102605,3144102,85
3102605,3146008,11
3102605,3151701,9
3102605,3151800,217
3102605,3152501,8
3102605,3159209,26
3102605,3162104,14
3102605,3162948,6
3102605,3166402,3
3102605,3169307,10
3102605,3171600,18
3102704,3101003,8
3102704,3101706,18
3102704,3106200,203
3102704,3106705,15
3102704,3109907,32
3102704,3112406,6
3102704,3115474,3
3102704,3117009,5
3102704,3118601,26
3102704,3120870,97
3102704,3122355,12
3102704,3127701,21
3102704,3135704,3
3102704,3141405,5
3102704,3143104,12
3102704,3143153,3
3102704,3145208,18
3102704,3148103,11
3102704,3148707,24
3102704,3157005,16
3102704,3157377,11
3102704,3168002,9
3102803,3102605,9
3102803,3103603,9
3102803,3107406,25
3102803,3110202,5
3102803,3113305,7
3102803,3114600,7
3102803,3136702,141
3102803,3138203,29
3102803,3138500,6
3102803,3138609,23
